FIPS,Center_X,Center_Y
Hancock__GA,0.0,0.0
Taliaferro__GA,0.0,0.0
Greene__GA,0.0,0.0
Oglethorpe__GA,0.0,0.0
Wilkes__GA,0.0,0.0
Warren__GA,0.0,0.0
McDuffie__GA,0.0,0.0
Glascock__GA,0.0,0.0
Jefferson__GA,0.0,0.0
Washington__GA,0.0,0.0
Johnson__GA,0.0,0.0
Treutlen__GA,0.0,0.0
Montgomery__GA,0.0,0.0
Toombs__GA,0.0,0.0
Liberty__GA,0.0,0.0
Evans__GA,0.0,0.0
Tattnall__GA,0.0,0.0
Candler__GA,0.0,0.0
Emanuel__GA,0.0,0.0
Chatham__GA,0.0,0.0
Bryan__GA,0.0,0.0
Bulloch__GA,0.0,0.0
Jenkins__GA,0.0,0.0
Effingham__GA,0.0,0.0
Screven__GA,0.0,0.0
Burke__GA,0.0,0.0
Richmond__GA,0.0,0.0
Columbia__GA,0.0,0.0
Lincoln__GA,0.0,0.0
Elbert__GA,0.0,0.0
Madison__GA,0.0,0.0
Banks__GA,0.0,0.0
Hall__GA,0.0,0.0
Lumpkin__GA,0.0,0.0
Gilmer__GA,0.0,0.0
Fannin__GA,0.0,0.0
Union__GA,0.0,0.0
White__GA,0.0,0.0
Habersham__GA,0.0,0.0
Hart__GA,0.0,0.0
Franklin__GA,0.0,0.0
Stephens__GA,0.0,0.0
Kauai__HI,0.0,0.0
Honolulu__HI,0.0,0.0
Maui__HI,0.0,0.0
Hawaii__HI,0.0,0.0
Kalawao__HI,0.0,0.0
Scott__IA,0.0,0.0
Clinton__IA,0.0,0.0
Lyon__IA,0.0,0.0
Sioux__IA,0.0,0.0
Plymouth__IA,0.0,0.0
Cherokee__IA,0.0,0.0
O_Brien__IA,0.0,0.0
Osceola__IA,0.0,0.0
Dickinson__IA,0.0,0.0
Clay__IA,0.0,0.0
Buena_Vista__IA,0.0,0.0
Pocahontas__IA,0.0,0.0
Palo_Alto__IA,0.0,0.0
Emmet__IA,0.0,0.0
Kossuth__IA,0.0,0.0
Humboldt__IA,0.0,0.0
Woodbury__IA,0.0,0.0
Ida__IA,0.0,0.0
Sac__IA,0.0,0.0
Calhoun__IA,0.0,0.0
Webster__IA,0.0,0.0
Greene__IA,0.0,0.0
Carroll__IA,0.0,0.0
Crawford__IA,0.0,0.0
Monona__IA,0.0,0.0
Harrison__IA,0.0,0.0
Shelby__IA,0.0,0.0
Audubon__IA,0.0,0.0
Guthrie__IA,0.0,0.0
Adair__IA,0.0,0.0
Cass__IA,0.0,0.0
Pottawattamie__IA,0.0,0.0
Fremont__IA,0.0,0.0
Mills__IA,0.0,0.0
Montgomery__IA,0.0,0.0
Page__IA,0.0,0.0
Taylor__IA,0.0,0.0
Adams__IA,0.0,0.0
Union__IA,0.0,0.0
Ringgold__IA,0.0,0.0
Decatur__IA,0.0,0.0
Clarke__IA,0.0,0.0
Madison__IA,0.0,0.0
Dallas__IA,0.0,0.0
Boone__IA,0.0,0.0
Hamilton__IA,0.0,0.0
Wright__IA,0.0,0.0
Hancock__IA,0.0,0.0
Winnebago__IA,0.0,0.0
Worth__IA,0.0,0.0
Cerro_Gordo__IA,0.0,0.0
Franklin__IA,0.0,0.0
Hardin__IA,0.0,0.0
Story__IA,0.0,0.0
Polk__IA,0.0,0.0
Warren__IA,0.0,0.0
Lucas__IA,0.0,0.0
Wayne__IA,0.0,0.0
Appanoose__IA,0.0,0.0
Monroe__IA,0.0,0.0
Marion__IA,0.0,0.0
Jasper__IA,0.0,0.0
Marshall__IA,0.0,0.0
Grundy__IA,0.0,0.0
Butler__IA,0.0,0.0
Floyd__IA,0.0,0.0
Mitchcell__IA,0.0,0.0
Howard__IA,0.0,0.0
Chickasaw__IA,0.0,0.0
Bremer__IA,0.0,0.0
Black_Hawk__IA,0.0,0.0
Tama__IA,0.0,0.0
Poweshiek__IA,0.0,0.0
Mahaska__IA,0.0,0.0
Wapello__IA,0.0,0.0
Davis__IA,0.0,0.0
Van_Buren__IA,0.0,0.0
Jefferson__IA,0.0,0.0
Benton__IA,0.0,0.0
Iowa__IA,0.0,0.0
Keokuk__IA,0.0,0.0
Washington__IA,0.0,0.0
Henry__IA,0.0,0.0
Lee__IA,0.0,0.0
Des_Moines__IA,0.0,0.0
Louisa__IA,0.0,0.0
Muscatine__IA,0.0,0.0
Johnson__IA,0.0,0.0
Linn__IA,0.0,0.0
Cedar__IA,0.0,0.0
Jones__IA,0.0,0.0
Buchanan__IA,0.0,0.0
Fayette__IA,0.0,0.0
Winneshiek__IA,0.0,0.0
Allamakee__IA,0.0,0.0
Clayton__IA,0.0,0.0
Delaware__IA,0.0,0.0
Dubuque__IA,0.0,0.0
Jackson__IA,0.0,0.0
Fremont__ID,0.0,0.0
Clark__ID,0.0,0.0
Benewah__ID,0.0,0.0
Kootenai__ID,0.0,0.0
Bonner__ID,0.0,0.0
Boundary__ID,0.0,0.0
Latah__ID,0.0,0.0
Nez_Perce__ID,0.0,0.0
Lewis__ID,0.0,0.0
Adams__ID,0.0,0.0
Washington__ID,0.0,0.0
Payette__ID,0.0,0.0
Boise__ID,0.0,0.0
Gem__ID,0.0,0.0
Canyon__ID,0.0,0.0
Ada__ID,0.0,0.0
Elmore__ID,0.0,0.0
Owyhee__ID,0.0,0.0
Camas__ID,0.0,0.0
Gooding__ID,0.0,0.0
Jerome__ID,0.0,0.0
Twin_Falls__ID,0.0,0.0
Cassia__ID,0.0,0.0
Oneida__ID,0.0,0.0
Power__ID,0.0,0.0
Bannock__ID,0.0,0.0
Franklin__ID,0.0,0.0
Bear_Lake__ID,0.0,0.0
Caribou__ID,0.0,0.0
Minidoka__ID,0.0,0.0
Lincoln__ID,0.0,0.0
Bonneville__ID,0.0,0.0
Bingham__ID,0.0,0.0
Blaine__ID,0.0,0.0
Valley__ID,0.0,0.0
Shoshone__ID,0.0,0.0
Clearwater__ID,0.0,0.0
Idaho__ID,0.0,0.0
Custer__ID,0.0,0.0
Lemhi__ID,0.0,0.0
Butte__ID,0.0,0.0
Jefferson__ID,0.0,0.0
Madison__ID,0.0,0.0
Teton__ID,0.0,0.0
Vermilion__IL,0.0,0.0
Iroquois__IL,0.0,0.0
Alexander__IL,0.0,0.0
Pulaski__IL,0.0,0.0
Massac__IL,0.0,0.0
Hardin__IL,0.0,0.0
Pope__IL,0.0,0.0
Johnson__IL,0.0,0.0
Union__IL,0.0,0.0
